,report_id,theme_id,theme_name,title,text,combined_text,url,latitude,longitude,country_iso3,country_name,date_created,source_id,source_name,format,word_count,len_text
39,16001,[4587],Agriculture,"Somalia: Climate Data Update (Monthly Rainfall and NDVI, February 2010)","**Highlights**  Remote sensing analysis for the month of February indicate that most parts of the country received normal to above normal rainfall particularly in the Northwest and parts of the South with the exception of Shabelle. These analyses are con rmed by eld reports and rain gauge station data (Map and Figure ).   Field reports also indicate that water catchments and underground water storage facilities have been replenished in most parts of the South, including Gedo, Bakool, Bay and parts of Hiran. In the Northeast, berkads were replenished, notably in the Sool and Upper Nugal livelihood zones, which led to cessation of water trucking.  The unexpected rains have improved pasture/browse conditions, which will consequently enhance livestock body condition and production. However, rainfall at this time of the year, middle of the dry ‘Jilaal’ season, is considered to be unusual and therefore not expected to continue for long.   Further analysis of the selected regions and districts are presented on page 3 and 4 of this update.","Somalia: Climate Data Update (Monthly Rainfall and NDVI, February 2010) **Highlights**  Remote sensing analysis for the month of February indicate that most parts of the country received normal to above normal rainfall particularly in the Northwest and parts of the South with the exception of Shabelle. These analyses are con rmed by eld reports and rain gauge station data (Map and Figure ).   Field reports also indicate that water catchments and underground water storage facilities have been replenished in most parts of the South, including Gedo, Bakool, Bay and parts of Hiran. In the Northeast, berkads were replenished, notably in the Sool and Upper Nugal livelihood zones, which led to cessation of water trucking.  The unexpected rains have improved pasture/browse conditions, which will consequently enhance livestock body condition and production. However, rainfall at this time of the year, middle of the dry ‘Jilaal’ season, is considered to be unusual and therefore not expected to continue for long.   Further analysis of the selected regions and districts are presented on page 3 and 4 of this update.",https://reliefweb.int/node/16001,5.79,47.33,som,Somalia,2010-02-28T05:00:00+00:00,529,Famine Early Warning System Network,Situation Report,181.0,1047
42,18248,[4591],Disaster Management,"Bangladesh: Summary of ""Flood Situation and Earthquake Preparedness Information"" (as of 16 Sep 2010)","**Flood Outlook**  - The Brahmaputra-Jamuna and the Ganges are in falling trend which is likely to continue during next 24 to 48 hours.  - The Padma is in rising trend which is likely to fall during next 24 to 48 hours.  - The Meghna is in rising trend which is likely to continue during next 24 hours.  - The flood situation in low-lying areas of Kurigram, Gaibandha, Bogra, Sherpur, Jamalpur, Serajganj, Rajbari, Faridpur, Shariatpur, Madaripur, Munshiganj, Manikgonj districts is likely to improve while the flood situation in Sylhet and Moulvi Bazar districts are likely to deteriorate further next 24 hours.","Bangladesh: Summary of ""Flood Situation and Earthquake Preparedness Information"" (as of 16 Sep 2010) **Flood Outlook**  - The Brahmaputra-Jamuna and the Ganges are in falling trend which is likely to continue during next 24 to 48 hours.  - The Padma is in rising trend which is likely to fall during next 24 to 48 hours.  - The Meghna is in rising trend which is likely to continue during next 24 hours.  - The flood situation in low-lying areas of Kurigram, Gaibandha, Bogra, Sherpur, Jamalpur, Serajganj, Rajbari, Faridpur, Shariatpur, Madaripur, Munshiganj, Manikgonj districts is likely to improve while the flood situation in Sylhet and Moulvi Bazar districts are likely to deteriorate further next 24 hours.",https://reliefweb.int/node/18248,23.84,90.27,bgd,Bangladesh,2010-09-16T04:00:00+00:00,382,Government of Bangladesh,Situation Report,118.0,612
45,21576,[4590],Coordination,General Guidance for Interaction Between United Nations Personnel and Military and other Representatives of the Belligerent Parties in the Context of the Crisis in Iraq,"This document aims to provide practical guidance to UN personnel in their interaction with all military forces engaged in the Iraqi crisis, including Iraqi forces, those of neighbouring countries, and forces of the US and its allies.  It also provides some initial guidance regarding relations with military forces that may also be organs of an Occupying Power in Iraq.   The document is produced in the context of recent conflicts showing coordination between humanitarian and military actors, particularly in the early phases of a conflict, to be essential for the timely and effective delivery of humanitarian assistance and to help ensure the protection of civilians.    The guidance provided will be reviewed on a continuous basis and will be revised to address additional concerns as they arise.","General Guidance for Interaction Between United Nations Personnel and Military and other Representatives of the Belligerent Parties in the Context of the Crisis in Iraq This document aims to provide practical guidance to UN personnel in their interaction with all military forces engaged in the Iraqi crisis, including Iraqi forces, those of neighbouring countries, and forces of the US and its allies.  It also provides some initial guidance regarding relations with military forces that may also be organs of an Occupying Power in Iraq.   The document is produced in the context of recent conflicts showing coordination between humanitarian and military actors, particularly in the early phases of a conflict, to be essential for the timely and effective delivery of humanitarian assistance and to help ensure the protection of civilians.    The guidance provided will be reviewed on a continuous basis and will be revised to address additional concerns as they arise.",https://reliefweb.int/node/21576,33.05,43.4,irq,Iraq,2003-04-01T00:00:00+00:00,1503,UN Office for the Coordination of Humanitarian Affairs,Manual and Guideline,154.0,801
57,22988,[4599],Peacekeeping and Peacebuilding,Negociating Peace in Liberia: Preserving the Possibility for Justice,"Liberia has been at peace since 18 August 2003, when a Comprehensive Peace Agreement was signed in Accra, Ghana. After a brutal war in the early-to-mid- 1990s, a repressive government headed by Charles Taylor was in power from 1997. By the time the rebel movement Liberians United for Reconciliation and Democracy started encroaching on the capital in 2003, there was mconsiderable pressure for a firm and lasting peace agreement. But Liberia had seen over a dozen peace agreements in the previous dozen years, and all suffered from questionable political commitment of the signatories actually to keep the peace and build a truly democratic society.  This article is based on extensive interviews with many of those who took part in the 2003 talks. It aims to record the dynamics, actors and elements that determined how and why many of the key decisions were taken that resulted in the 2003 peace agreement, with a particular focus on questions of justice, accountability and the rule of law. It also tracks developments in the four years after the accord was signed, and provides insights that may be useful in future mediation contexts.","Negociating Peace in Liberia: Preserving the Possibility for Justice Liberia has been at peace since 18 August 2003, when a Comprehensive Peace Agreement was signed in Accra, Ghana. After a brutal war in the early-to-mid- 1990s, a repressive government headed by Charles Taylor was in power from 1997. By the time the rebel movement Liberians United for Reconciliation and Democracy started encroaching on the capital in 2003, there was mconsiderable pressure for a firm and lasting peace agreement. But Liberia had seen over a dozen peace agreements in the previous dozen years, and all suffered from questionable political commitment of the signatories actually to keep the peace and build a truly democratic society.  This article is based on extensive interviews with many of those who took part in the 2003 talks. It aims to record the dynamics, actors and elements that determined how and why many of the key decisions were taken that resulted in the 2003 peace agreement, with a particular focus on questions of justice, accountability and the rule of law. It also tracks developments in the four years after the accord was signed, and provides insights that may be useful in future mediation contexts.",https://reliefweb.int/node/22988,6.45,-9.31,lbr,Liberia,2007-11-01T04:00:00+00:00,745,Centre for Humanitarian Dialogue,Analysis,198.0,1140
58,23026,[4600],Protection and Human Rights,Forced Migration Review Special Issue - Iraq's Displacement Crisis: The Search for Solutions,"Forced Migration Review provides a forum for the regular exchange of practical experience, information and ideas between researchers, refugees and internally displaced people, and those who work with them. It is published in English, Spanish, Arabic and French by the Refugee Studies Centre, University of Oxford.  Contents  - Foreword by Antonio Guterres. - UN's role in Iraq by Ashraf Jehangir Qazi. - Iraq bleeds: the remorseless rise of violence and displacement by Ashraf al-Khalidi and Victor Tanner. - Iraq: the search for solutions by José Riera and Andrew Harper.  - A tragedy of increasing proportions: internal displacement in Iraq by Walter Kälin.  - An unenviable task by Abed Al-Samad Rahman Sultan.  - The world must shoulder Iraq refugee burden by Mukhaimer Abu Jamous.  - Iraqi refugees in Syria by Faisal al-Miqdad.  - Resettlement by Vincent Cochetel.  - The EU should help Iraqi refugees by Gunilla Carlsson and Tobias Billström.  - Iraqis denied right to asylum by Bill Frelick.  - Delivering is never remote: NGOs' vital role by the FMR authors.  - Responding to Iraq's ever-deepening violence by Robert Zimmerman.  - Iraqis defend humanitarianism by Greg Hansen. - Iraqi refugees in Lebanon: continuous lack of protection by Samira Trad and Ghida Frangieh. - Military-induced displacement by Dina Abou Samra. - Tackling sexual violence, abuse and exploitation by Henia Dakkak.  - Iraq's women under pressure by Nadje Al-Ali.  - Iraq's children pay the price of war by Leila Billing. - The plight of the Iraqi Christians by Nineb Lamassu. - Education crisis for Iraqi children by J R A Williams. - Insufficient world focus on Iraqi IDPs by Peter Medway. - The Iraqi Red Crescent by Jamal Al-Karboli .  - Vital role of legal assistance for displaced Iraqis by Olivier Beucher.  - IOM - building Iraqi capacity and assisting IDPs by Dana Graber Ladek.  - Humanitarian situation in Iraq by Rianne ten Veen.","Forced Migration Review Special Issue - Iraq's Displacement Crisis: The Search for Solutions Forced Migration Review provides a forum for the regular exchange of practical experience, information and ideas between researchers, refugees and internally displaced people, and those who work with them. It is published in English, Spanish, Arabic and French by the Refugee Studies Centre, University of Oxford.  Contents  - Foreword by Antonio Guterres. - UN's role in Iraq by Ashraf Jehangir Qazi. - Iraq bleeds: the remorseless rise of violence and displacement by Ashraf al-Khalidi and Victor Tanner. - Iraq: the search for solutions by José Riera and Andrew Harper.  - A tragedy of increasing proportions: internal displacement in Iraq by Walter Kälin.  - An unenviable task by Abed Al-Samad Rahman Sultan.  - The world must shoulder Iraq refugee burden by Mukhaimer Abu Jamous.  - Iraqi refugees in Syria by Faisal al-Miqdad.  - Resettlement by Vincent Cochetel.  - The EU should help Iraqi refugees by Gunilla Carlsson and Tobias Billström.  - Iraqis denied right to asylum by Bill Frelick.  - Delivering is never remote: NGOs' vital role by the FMR authors.  - Responding to Iraq's ever-deepening violence by Robert Zimmerman.  - Iraqis defend humanitarianism by Greg Hansen. - Iraqi refugees in Lebanon: continuous lack of protection by Samira Trad and Ghida Frangieh. - Military-induced displacement by Dina Abou Samra. - Tackling sexual violence, abuse and exploitation by Henia Dakkak.  - Iraq's women under pressure by Nadje Al-Ali.  - Iraq's children pay the price of war by Leila Billing. - The plight of the Iraqi Christians by Nineb Lamassu. - Education crisis for Iraqi children by J R A Williams. - Insufficient world focus on Iraqi IDPs by Peter Medway. - The Iraqi Red Crescent by Jamal Al-Karboli .  - Vital role of legal assistance for displaced Iraqis by Olivier Beucher.  - IOM - building Iraqi capacity and assisting IDPs by Dana Graber Ladek.  - Humanitarian situation in Iraq by Rianne ten Veen.",https://reliefweb.int/node/23026,33.05,43.4,irq,Iraq,2007-06-01T04:00:00+00:00,791,"Forced Migration Review, University of Oxford",Analysis,341.0,1925
59,23166,[4590],Coordination,Real Time Evaluation of UNHCR's IDP Operation in Somalia,"This real-time evaluation (RTE) report is one in a series which seeks to analyze and assess UNHCR's initial experience in the implementation of the Cluster Approach, with the aim of identifying lessons learned and effective practices which may be drawn upon as that approach is rolled out to other ongoing humanitarian emergencies. The evaluation process also provided an early opportunity to review field operations in the light of the IDP Policy Framework referred to above, together with UNHCR's policy paper on ""The Protection of IDPs and the Role of UNHCR"", issued in February 2007. The countries selected for evaluation are those in which the Cluster Approach was first activated (Democratic Republic of the Congo, Liberia, Uganda and Somalia), together with Chad where a cluster-like arrangement was in place at the time when the first RTE was undertaken. This evaluation report is based on a mission to Somalia that was undertaken from 2 - 10 July 2007.","Real Time Evaluation of UNHCR's IDP Operation in Somalia This real-time evaluation (RTE) report is one in a series which seeks to analyze and assess UNHCR's initial experience in the implementation of the Cluster Approach, with the aim of identifying lessons learned and effective practices which may be drawn upon as that approach is rolled out to other ongoing humanitarian emergencies. The evaluation process also provided an early opportunity to review field operations in the light of the IDP Policy Framework referred to above, together with UNHCR's policy paper on ""The Protection of IDPs and the Role of UNHCR"", issued in February 2007. The countries selected for evaluation are those in which the Cluster Approach was first activated (Democratic Republic of the Congo, Liberia, Uganda and Somalia), together with Chad where a cluster-like arrangement was in place at the time when the first RTE was undertaken. This evaluation report is based on a mission to Somalia that was undertaken from 2 - 10 July 2007.",https://reliefweb.int/node/23166,5.79,47.33,som,Somalia,2007-09-01T04:00:00+00:00,2868,UN High Commissioner for Refugees,Evaluation and Lessons Learned,165.0,961
62,23385,[4596],HIV/Aids,Epidemic of Inequality: Women's Rights and HIV/AIDS in Botswana & Swaziland,"Introduction  Deeply entrenched gender inequities perpetuate the HIV/AIDS pandemic in Botswana and Swaziland, the two countries with the highest HIV prevalence in the world.10 The legal systems in both countries grant women lesser status than men, restricting property, inheritance and other rights. Social, economic and cultural practices create, enforce and perpetuate legalized gender inequalities and discrimination in all aspects of women's lives. Neither country has met its obligations under international human rights law. As a result, women continue to be disproportionately vulnerable to HIV/AIDS. This is most starkly demonstrated by the association of gender discriminatory beliefs and sexual risk-taking documented in this report. In Botswana, participants who held three or more gender discriminatory beliefs had 2.7 times the odds of having unprotected sex in the past year with a non-primary partner as those who held fewer beliefs. In Swaziland, those surveyed who held 6 or more discriminatory attitudes had twice the odds of having multiple sexual partners than those who held less than 6.  In both Botswana and Swaziland, a substantial percentage of PHR community survey participants who had been tested for HIV reported that they could not refuse the test. The continuing extraordinary prevalence of HIV in Botswana, particularly among women, demonstrates that campaigns, scaled-up HIV testing, including routine testing, and anti-retroviral (ARV) treatment are not enough. Women must be empowered with legal rights, sufficient food and economic opportunities to gain agency of their own lives. Men must be educated and supported to acknowledge women's equal status and throw off the yoke of socially- and culturally-sanctioned discriminatory beliefs and risky sexual behavior. HIV/AIDS interventions focused solely on individual behavior will not address the factors creating vulnerability to HIV for women and men in Botswana and Swaziland, nor protect the rights and assure the wellbeing of those living with HIV/AIDS. National leaders, with the assistance of foreign donors and others, are obligated under international law to take immediate steps to change the unequal social, legal and economic conditions of women's lives which facilitate HIV transmission and impede testing, care and treatment. Without these immediate and comprehensive reforms, they cannot hope to halt the deadly toll of HIV/AIDS on their populations.","Epidemic of Inequality: Women's Rights and HIV/AIDS in Botswana & Swaziland Introduction  Deeply entrenched gender inequities perpetuate the HIV/AIDS pandemic in Botswana and Swaziland, the two countries with the highest HIV prevalence in the world.10 The legal systems in both countries grant women lesser status than men, restricting property, inheritance and other rights. Social, economic and cultural practices create, enforce and perpetuate legalized gender inequalities and discrimination in all aspects of women's lives. Neither country has met its obligations under international human rights law. As a result, women continue to be disproportionately vulnerable to HIV/AIDS. This is most starkly demonstrated by the association of gender discriminatory beliefs and sexual risk-taking documented in this report. In Botswana, participants who held three or more gender discriminatory beliefs had 2.7 times the odds of having unprotected sex in the past year with a non-primary partner as those who held fewer beliefs. In Swaziland, those surveyed who held 6 or more discriminatory attitudes had twice the odds of having multiple sexual partners than those who held less than 6.  In both Botswana and Swaziland, a substantial percentage of PHR community survey participants who had been tested for HIV reported that they could not refuse the test. The continuing extraordinary prevalence of HIV in Botswana, particularly among women, demonstrates that campaigns, scaled-up HIV testing, including routine testing, and anti-retroviral (ARV) treatment are not enough. Women must be empowered with legal rights, sufficient food and economic opportunities to gain agency of their own lives. Men must be educated and supported to acknowledge women's equal status and throw off the yoke of socially- and culturally-sanctioned discriminatory beliefs and risky sexual behavior. HIV/AIDS interventions focused solely on individual behavior will not address the factors creating vulnerability to HIV for women and men in Botswana and Swaziland, nor protect the rights and assure the wellbeing of those living with HIV/AIDS. National leaders, with the assistance of foreign donors and others, are obligated under international law to take immediate steps to change the unequal social, legal and economic conditions of women's lives which facilitate HIV transmission and impede testing, care and treatment. Without these immediate and comprehensive reforms, they cannot hope to halt the deadly toll of HIV/AIDS on their populations.",https://reliefweb.int/node/23385,-22.21,24.32,bwa,Botswana,2007-05-01T00:00:00+00:00,2005,Physicians for Human Rights,Analysis,373.0,2449
66,23571,[4600],Protection and Human Rights,"The ""Joint Policy of Operation"" and the ""Principles and Protocols of Humanitarian Operation"" in Liberia","Confronted with some of the most serious challenges ever faced in the provision of relief aid in conflict, the humanitarian community in Liberia developed two inter-agency mechanisms intended to reduce the extent to which their assistance was manipulated, and to increase respect for the principles of International Humanitarian Law (IHL). The Principles and Protocols of Humanitarian Operation (PPHO) was developed in late 1995 and included UN and NGO agencies. The Joint Policy of Operation (JPO) was developed in response to the massive looting of relief resources in Monrovia in April 1996, and underwent several revisions as the situation changed. Unlike the PPHO, it was developed by and restricted to NGOs only.  Both the PPHO and the JPO have received considerable publicity and have won the attention of policy-makers, field staff and researchers alike. At the policy-level, their example has spawned other similar mechanisms, such as the ""Principles of Engagement and Disengagement"" currently being developed in Eastern Congo. At the field level many aid workers have carried their experiences from Liberia into other situations, for example in Sierra Leone. The PPHO and JPO have also received attention from the research community, with the OCHA report on Strategic Coordination in the Great Lakes, for instance, recommending that OCHA ""build on NGO experience in Liberia with codes of conduct (Lautze et al. 1998: 101). This case study is an attempt to develop an independent understanding of the two mechanisms and the impact they have had on the humanitarian situation in Liberia, and forms part of a wider study of humanitarian principles.","The ""Joint Policy of Operation"" and the ""Principles and Protocols of Humanitarian Operation"" in Liberia Confronted with some of the most serious challenges ever faced in the provision of relief aid in conflict, the humanitarian community in Liberia developed two inter-agency mechanisms intended to reduce the extent to which their assistance was manipulated, and to increase respect for the principles of International Humanitarian Law (IHL). The Principles and Protocols of Humanitarian Operation (PPHO) was developed in late 1995 and included UN and NGO agencies. The Joint Policy of Operation (JPO) was developed in response to the massive looting of relief resources in Monrovia in April 1996, and underwent several revisions as the situation changed. Unlike the PPHO, it was developed by and restricted to NGOs only.  Both the PPHO and the JPO have received considerable publicity and have won the attention of policy-makers, field staff and researchers alike. At the policy-level, their example has spawned other similar mechanisms, such as the ""Principles of Engagement and Disengagement"" currently being developed in Eastern Congo. At the field level many aid workers have carried their experiences from Liberia into other situations, for example in Sierra Leone. The PPHO and JPO have also received attention from the research community, with the OCHA report on Strategic Coordination in the Great Lakes, for instance, recommending that OCHA ""build on NGO experience in Liberia with codes of conduct (Lautze et al. 1998: 101). This case study is an attempt to develop an independent understanding of the two mechanisms and the impact they have had on the humanitarian situation in Liberia, and forms part of a wider study of humanitarian principles.",https://reliefweb.int/node/23571,6.45,-9.31,lbr,Liberia,2000-03-01T05:00:00+00:00,1982,ODI - Humanitarian Policy Group,Analysis,274.0,1655
67,23629,[4592],Education,Building Back Better: Post-Earthquake Responses and Educational Challenges in Pakistan,"This study documents the education sector's response to the earthquake in Pakistan and AJK from its immediate aftermath to July 2007. It presents the experiences of educators and educational planners, managers, and implementers who were engaged in new co-ordination mechanisms - the Education Clusters - at central and hub levels. It describes the successes and challenges of the policy and programme interventions developed across the affected areas of NWFP and AJK. In comparison with other emergency situations, funding for education activities in the relief period was relatively generous, yet funding for long-term recovery and reconstruction programmes proved to be more difficult to secure. Also challenging was the need to ensure the convergence of reconstruction efforts with ongoing sector development processes. Without long-term strategic, sector-wide planning, the vision of building back better will only be partially achieved. Continuity of funding and co-ordination of efforts by government, donors and international financial institutions, United Nations (UN) agencies and non-governmental organizations (NGOs) are required.","Building Back Better: Post-Earthquake Responses and Educational Challenges in Pakistan This study documents the education sector's response to the earthquake in Pakistan and AJK from its immediate aftermath to July 2007. It presents the experiences of educators and educational planners, managers, and implementers who were engaged in new co-ordination mechanisms - the Education Clusters - at central and hub levels. It describes the successes and challenges of the policy and programme interventions developed across the affected areas of NWFP and AJK. In comparison with other emergency situations, funding for education activities in the relief period was relatively generous, yet funding for long-term recovery and reconstruction programmes proved to be more difficult to secure. Also challenging was the need to ensure the convergence of reconstruction efforts with ongoing sector development processes. Without long-term strategic, sector-wide planning, the vision of building back better will only be partially achieved. Continuity of funding and co-ordination of efforts by government, donors and international financial institutions, United Nations (UN) agencies and non-governmental organizations (NGOs) are required.",https://reliefweb.int/node/23629,29.97,69.39,pak,Pakistan,2008-08-01T04:00:00+00:00,1820,"UN Educational, Scientific and Cultural Organization",Evaluation and Lessons Learned,170.0,1141
69,23742,[4593],Food and Nutrition,Civil Conflicts in Four African Countries: A Five-Year Review of Trends in Nutrition and Mortality,"Armed conflicts are defined as political conflicts in which armed combat involves the armed forces of at least one state or one or more armed factions seeking to gain control of all or part of the state, and in which at least 1,000 people have been killed by the fighting during the course of the conflict. Globally, the number of armed conflicts has been decreasing since 1995, when it peaked at 44 recorded civil wars. By 2003, seven of these conflicts had ended, and in 2003 there were 37 active conflicts in the world. More than 80 percent of these conflicts were in Asia and Africa. The latter continent harbored 42 percent of all conflicts in 2003, involving 28 states and their neighboring countries.  Many governmental and nongovernmental organizations, as well as research scholars, evaluate the human impact of civil conflict for operational and policy purposes. These evaluations typically measure not only direct casualties due to violence but often indirect casualties among persons affected by the breakdown of the health and social-service infrastructure and its consequences.  A World Health Organization report underlined the use of mortality and nutrition as indicators for assessing the severity of a complex emergency; for identifying needs, prioritizing interventions, and monitoring impacts; and for advocacy purposes. While these factors serve as broad indications of the severity and nature of a conflict, an understanding of the process and therefore planning of the response depends on many external variables and constraints that are unique to each emergency situation.","Civil Conflicts in Four African Countries: A Five-Year Review of Trends in Nutrition and Mortality Armed conflicts are defined as political conflicts in which armed combat involves the armed forces of at least one state or one or more armed factions seeking to gain control of all or part of the state, and in which at least 1,000 people have been killed by the fighting during the course of the conflict. Globally, the number of armed conflicts has been decreasing since 1995, when it peaked at 44 recorded civil wars. By 2003, seven of these conflicts had ended, and in 2003 there were 37 active conflicts in the world. More than 80 percent of these conflicts were in Asia and Africa. The latter continent harbored 42 percent of all conflicts in 2003, involving 28 states and their neighboring countries.  Many governmental and nongovernmental organizations, as well as research scholars, evaluate the human impact of civil conflict for operational and policy purposes. These evaluations typically measure not only direct casualties due to violence but often indirect casualties among persons affected by the breakdown of the health and social-service infrastructure and its consequences.  A World Health Organization report underlined the use of mortality and nutrition as indicators for assessing the severity of a complex emergency; for identifying needs, prioritizing interventions, and monitoring impacts; and for advocacy purposes. While these factors serve as broad indications of the severity and nature of a conflict, an understanding of the process and therefore planning of the response depends on many external variables and constraints that are unique to each emergency situation.",https://reliefweb.int/node/23742,15.0,30.0,sdn,Sudan,2005-02-01T00:00:00+00:00,1464,Johns Hopkins University,Analysis,267.0,1596
